comparison,setting,actual_window_s,actual_hop_s,peak_time_s,spread_start_s,spread_end_s,spread_width_s,peak_power,peak_10_hz,peak_12_hz,valley_ratio,separable,leakage_proxy
window_length,0.25s,0.252,0.052,2.726,2.674,2.83,0.15600000000000014,0.27715004657151554,10.7421875,11.23046875,0.0,弱/否,
window_length,0.50s,0.5,0.052,2.746,2.642,2.85,0.20800000000000018,0.1537400577582354,10.498046875,11.23046875,0.0,弱/否,
window_length,1.00s,1.0,0.052,2.736,2.58,2.944,0.3639999999999999,0.05118633560650768,10.009765625,11.962890625,0.29952973255953896,是,
window_function,boxcar,0.5,0.052,2.798,2.538,2.954,0.41600000000000037,0.0666804985244661,10.009765625,11.23046875,0.0,弱/否,0.0010933968652046366
window_function,hann,0.5,0.052,2.746,2.642,2.85,0.20800000000000018,0.17275260795458178,10.498046875,11.23046875,0.0,弱/否,0.0012650547481910864
window_function,hamming,0.5,0.052,2.746,2.642,2.85,0.20800000000000018,0.1537400577582354,10.498046875,11.23046875,0.0,弱/否,0.0011571296475404306
